NAME,LATITUDE,LONGITUDE
ICEBERG,79.7072,-91.9347
IKT,59.273,-137.209
ILLECILLEWAET,51.23,-117.42
ISLAND EASTER SOUTH ,77.6453,-79.2236
ISOSCELES,49.905,-122.88
JAKEMAN,76.5031,-80.2509
JARVIS,59.4998,-136.6302
JARVIS 1ST SOUTH ,59.4998,-136.6302
JARVIS SOUTH TRIB 1,59.4998,-136.6302
JARVIS SOUTH TRIB 2,59.4998,-136.6302
JETTE,60.427,-139.501
JOHN EVANS,79.67,-74
JOHN RICHARDSON BAY SOUTH,80.2029,-73.9149
JOLLIFFE NORTH ARM,80.6863,-72.3609
KASA,60.829,-139.01
KASKAWULSH,60.72,-138.8
KLINAKLINI,51.546,-125.924
KLOON,59.248,-137.184
KLUANE,60.873,-139.422
KLUANE (LIL) WEST,61.029,-139.478
KLUANE 2ND EAST,60.907,-139.06
KLUANE EAST TRIB,60.873,-139.422
KOKANEE,49.75,-117.14
KONAMOXT,59.295,-137.697
KOOETIGETO RIVER,78.7559,-80.5782
KULUTINGWAK FJORD,82.0902,-83.5002
KWAIST,59.172,-136.995
KWINNUM,59.2308,-137.1334
LAHKIT,59.239,-137.158
LAIKA,75.88,-79.5
LAIKA GL + ICE,75.88,-79.5
LAKE TUBORG,80.7189,-74.7935
LAMBART ,61.5003,-140.9596
LAVA GL/BISHOP,49.836,-122.958
LELOO,60.0349,-137.6446
LIL KLUANE,60.9957,-139.5287
LILLOOET,50.736,-123.811
LILLOOET ICEFIELD A,50.854,-123.787
LITTLE BASEMENT,59.3334,-137.279
LITTLE CHITINA,61.116,-140.845
LITTLE DONJEK,61.052,-139.598
LITTLE ELIZA,59.041,-137.318
LITTLE KASA,60.8,-139.1167
LITTLE KLUANE,60.873,-139.422
LITTLE RAINY HOLLOW,59.529,-136.584
LITTLE SPRING,61.1469,-139.9728
LLEWELLYN,59.0833,-134.05
LOWELL,60.33,-138.25
LOWELL,60.283,-138.645
LOWELL,60.283,-138.645
LOWELL SOUTH,60.283,-138.645
MARGERIE (4TH SOUTH),58.9336,-137.4356
MAWER,57.05,-130.98
MCBRIDE,49.983,-122.7
M'CLINTOCK,82.1571,-75.5681
MEIGHEN ICE CAP,79.95,-99.13
MELBERN,59.215,-137.463
MELVILLE SOUTH ICE CAP,75.4,-115
MICHAEL,59.461,-136.696
MIDDLE AIRDROP,79.8896,-93.0352
MILNE,82.4,-80
MILNE,81.9358,-77.841
MINARET,58.8865,-63.685
MISERABLE,51.07,-122.8
MITTIE,76.8237,-79.7999
MOFFAT,61.216,-140.029
MONARCH ICEFIELD,51.949,-126.071
MOUNT GEORGE EAST,61.116,-140.845
MOUNT GEORGE WEST,61.116,-140.845
MOUNT GLENWORTH,76.8845,-77.9142
MOUNT WOOD A,61.307,-140.516
MOXT MOKST,59.257,-137.216
MT WADDINGTON,51.384,-125.294
